,GEOID,pickups_intract,NYPDfelony,units,perSQFTvalueC1,newperSQFTvalueC1,Pop_Den,Median_Household_Income,Gini_Index,Ave_Commute_Min,Unemployed_rate_16,Moved_after_2010
289,36047034700,32444.98143,100,,205.089224,233.1749222,61628.44,29114,0.4915,42,0.128651336,0.330671989
290,36047034800,13484.30707,183,,235.0047318,288.9656312,9833.027,46346,0.4877,44,0.121632025,0.266197184
291,36047034900,37883.84747,128,,187.7407015,222.3146742,84058.88,29754,0.4742,43,0.093230174,0.32047619
292,36047035000,4185.286099,107,,,,37018.86,30889,0.4206,37,0.12936345,0.089224434
293,36047035100,37838.15814,185,,193.0295059,235.0006353,70496.51,24519,0.4802,42,0.129255057,0.178484108
294,36047035200,21137.84064,23,,132.4343008,139.7007269,2874.457,11011,0.3457,49,0,0.127388535
295,36047035300,37858.42781,103,,235.3935947,282.2273374,81622.44,39934,0.5009,43,0.068851252,0.403008299
296,36047035400,8059.30742,259,,,,36712.07,53158,0.4734,41,0.084245439,0.107222636
297,36047035500,26645.32981,87,,227.8562442,274.5980849,105165.4,39850,0.4265,43,0.089330025,0.275779377
298,36047035601,1370.638212,27,,,,104419.7,35954,0.4919,36,0.121052632,0.132278936
299,36047035602,3729.989506,27,,,,71651.43,32348,0.5177,45,0.047156727,0.120504973
300,36047035700,42139.09354,78,,179.2453488,219.0788843,35652.25,21227,0.5662,43,0.150753769,0.311850312
301,36047035900,42523.97629,181,,211.7347253,244.7074425,73330.08,30898,0.4691,45,0.184308842,0.271448025
302,36047036001,4619.338869,35,,242.0803092,293.5172819,79039.69,22384,0.6161,45,0.128903122,0.120838471
303,36047036002,4187.725089,34,,142.0651285,142.0651285,119665.7,18738,0.538,50,0.12,0.178485287
304,36047036100,17618.94406,87,,224.146342,270.9374181,44403.86,26936,0.6316,53,0.208879919,0.335827877
305,36047036200,8335.932812,104,,249.6500859,300.4602213,50632.12,28750,0.5124,40,0.123870968,0.351215423
306,36047036300,33036.67932,170,,191.2197579,195.5804481,40644.94,29741,0.5052,53,0.08,0.308524173
307,36047036400,6980.339773,47,,313.2289986,351.99952,37549.95,33750,0.5503,39,0.133031674,0.301790282
308,36047036501,16071.3739,46,,244.5650415,249.9332784,54873.23,39019,0.3928,45,0.140508221,0.197243755
309,36047036502,15311.05843,74,,217.243382,217.183937,25020.09,27364,0.6298,40,0.224770642,0.369193154
310,36047036600,11385.91337,82,,271.1071438,338.2016428,52382.63,36487,0.4655,43,0.049578059,0.28149748
311,36047036700,23475.07857,122,,249.4078776,284.5373043,19967.04,51140,0.3861,45,0.039073806,0.355339806
312,36047036900,28841.58987,138,,233.5901867,268.0214604,55275.53,31059,0.506,47,0.103021298,0.335167859
313,36047037000,16393.95275,30,,272.5436071,352.5121311,31224.71,66836,0.4791,44,0.045120157,0.145846959
314,36047037100,24085.08719,64,,230.7769256,286.9653499,64357.47,46641,0.5061,41,0.117276166,0.264579497
315,36047037300,21727.52149,115,,228.160343,262.6780222,62320.2,29057,0.516,43,0.104548139,0.382075472
316,36047037401,4827.27093,58,,267.3547502,345.2426216,47935.52,51857,0.5115,43,0.083333333,0.286346048
317,36047037402,6449.424553,37,,238.9102019,310.9619812,40193.43,30449,0.5553,47,0.086348288,0.320754717
318,36047037500,35902.10757,68,,206.8646901,273.477848,51032.24,45573,0.4142,48,0.152825836,0.280562885
319,36047037700,43002.5124,62,,258.8067265,324.7245158,57734.12,40272,0.5085,43,0.114012185,0.35078534
320,36047037900,41544.77905,90,,255.6925117,293.655586,49851.64,40412,0.4701,43,0.115010799,0.348670021
321,36047038100,55597.95089,154,,263.1439585,333.6875351,60012.75,27885,0.4751,39,0.146878825,0.265893037
322,36047038200,4986.688322,64,,239.4525309,311.6317328,64286.11,17308,0.4916,52,0.172147787,0.100286533
323,36047038300,39459.87877,75,,274.3828578,356.6451488,69075.65,48712,0.4681,43,0.092440801,0.370869033
324,36047038500,39438.28548,63,,236.1585909,302.6360322,49945.94,39141,0.4771,41,0.175581395,0.401476015
325,36047038600,5377.087566,54,,368.8845221,428.2043365,37319.54,44766,0.4101,39,0.092082111,0.2275
