,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
111,36047015200,2.196996033,-0.2,0.242424242,0.260869565,,0.134147203,-0.011490021,0.047915688,0.245701011,-0.060147026,0.029647436,-0.177011263,0.02719362,-0.5
112,36047015300,1.127332984,1.285714286,-0.04109589,0.093023256,,0.222012132,0.129185749,-0.072610666,0.273547826,0.121259433,-0.025816862,0.083381262,0.033600834,-0.6
113,36047015400,2.197074325,3,0.555555556,0.076923077,,,0.041450777,,,,,,,
114,36047015500,1.127332984,-0.04,0.30952381,0.12,,0.239516553,0.146435654,0.003810574,0.006632403,0.008043947,-0.033793251,-0.025318283,0.788570007,
115,36047015700,1.127332984,-0.1,0.204545455,0.259259259,,0.148971374,0.177821,-0.021216994,0.039834146,0.058125454,-0.024804164,-0.281197442,-0.005404302,-0.615384615
116,36047015900,1.127355439,0.833333333,0.151162791,0.035087719,,0.173488897,0.228935911,-0.006205116,-0.023294038,0.06946616,0.079167679,0.154645163,0.64894884,-0.666666667
117,36047016000,2.203284061,-0.212121212,0.142857143,0.259259259,,0.133740909,0.064713471,-0.108603438,-0.013608356,-0.035615171,0.040423727,-0.378898664,0.123368199,-0.2
118,36047016100,1.121673937,0.269230769,0.424,0.279569892,,0.241206871,0.203636803,0.031857167,0.075681159,0.02615482,0.030647873,-0.232891129,-0.105999053,1
119,36047016200,2.203286413,-0.454545455,0.055555556,0,,0.140565608,0.115594296,-0.111327992,-0.007821011,-0.038954869,0.019165247,0.270151112,-1,
120,36047016300,1.121387959,0.103448276,0.333333333,0.303030303,278,0.316812437,0.122986445,0.023580417,0.008848018,0.009440642,-0.009991506,0.008967846,0.184155919,0.166666667
121,36047016400,2.203262766,,1,,,0.065032029,0.08045977,-0.030581248,-0.00082856,-0.079608939,0.019668737,-1,-0.09184765,
122,36047016500,1.127348644,0.285714286,-0.05,-0.076923077,,0.18681664,0.250841262,-0.015247073,0.19337845,-0.009768452,0.055000084,-0.518825863,0.231242978,0
123,36047016600,2.196993885,2,0.192307692,0.117647059,,0.05103223,0.007729749,-0.114423226,0.189439642,-0.038343244,0.061314903,-0.102102537,-1,-0.5
124,36047016700,1.12733516,0,0,-0.25,,0.232711707,0.16440336,0.038651015,0.210699198,0.070785985,0.027734171,-0.380888617,0.004872517,-0.6
125,36047016800,2.652910011,-0.933333333,-0.238095238,-0.230769231,,0.127225795,0.061195749,0.02831774,-0.008481017,-0.019947391,0.097734974,-0.405968457,-1,-0.5
126,36047016900,1.403092863,0.071428571,0.282608696,0.576923077,,0.225595002,0.133909073,-0.02029718,0.163647712,0.004093328,0.068692656,-0.115508856,-0.88759416,0.666666667
127,36047017000,2.653352808,0.4,0.314285714,0.65,,0.123715613,0.034368858,-0.043742471,-0.022298456,-0.046516659,-0.052980218,-0.182185664,0.149035442,0.5
128,36047017100,1.403141049,-0.25,-0.387096774,-0.277777778,,0.235129296,0.131343781,0.01090538,0.073396442,-0.021664766,0.008413462,-0.295561214,0.065668545,
129,36047017200,2.65340442,-0.052631579,0.307692308,0.6,,0.132515904,0.009712395,-0.040346579,-0.062716578,0.005995503,-0.04346075,-0.021147761,,0.666666667
130,36047017400,2.653404788,-0.769230769,0.166666667,0,,0.08327643,0.052624325,0.044549299,0.255296319,-0.025367473,0.005077512,-0.008042177,-1,1
131,36047017500,2.125938616,0.5,0.263157895,1.375,,,0.143192488,,,,,,,
