,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,HousepriceDiffC1,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,HousepriceDiffC2,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
715,36047112600,11456.75414,42,144,87,,202.343227,227.1928515,24.8496245,605.1891875,625.3851025,20.195915,55350.42645,41097,0.4689,41.75965665,0.135218193,0
716,36047112800,12523.79957,50,143,75,,231.0038234,245.8679742,14.8641508,409.4190672,487.371092,77.9520248,51857.97361,38987,0.5128,44.7135785,0.164853101,0.021107456
717,36047113000,13183.65765,44,107,59,,253.6558084,276.8490997,23.1932913,421.9676949,478.3071463,56.3394514,55999.30771,28164,0.533,46.48988137,0.153374233,0.019806763
718,36047113200,13498.6929,10,74,45,,246.7394873,263.6105678,16.8710805,361.8215975,561.5224723,199.7008748,25346.28794,50952,0.4528,39.60599334,0.096432015,0
719,36047113400,10431.68084,64,162,111,,232.6575617,210.5930423,-22.0645194,245.1099262,314.7109835,69.6010573,53717.51905,19191,0.5293,45.80163043,0.190847128,0.006383658
720,36047114201,11479.41643,5,65,42,,254.1929274,285.3772483,31.1843209,347.3918735,434.2107434,86.8188699,16231.43967,36272,0.4924,42.89269051,0.054376658,0
721,36047114202,4319.709687,25,60,37,,217.5227867,245.227135,27.7043483,502.1750609,636.4272565,134.2521956,64610.17999,49662,0.5161,49.26446945,0.075898802,0
722,36047114400,29202.25608,56,177,99,,229.2856834,232.4912748,3.2055914,406.0380492,525.7737965,119.7357473,12921.61368,21824,0.5319,40.58139535,0.232919255,0.012723845
723,36047114600,6057.823911,21,120,72,,220.7246139,254.4011574,33.6765435,532.9348317,673.2139579,140.2791262,55261.36035,42308,0.4295,47.06355283,0.132343447,0.018041999
724,36047115000,5609.381204,34,82,40,,237.7131962,262.4210396,24.7078434,587.0121246,724.6890184,137.6768938,45762.28102,40227,0.4379,46.66524338,0.067314884,0
725,36047115200,5889.334311,49,152,96,,251.4530267,277.6608471,26.2078204,500.213622,641.2050461,140.9914241,45942.44853,36176,0.5464,43.61085557,0.095659164,0
726,36047115600,10869.53023,86,222,141,,175.6575085,188.5784075,12.920899,279.2749289,350.6620128,71.3870839,66020.69962,15433,0.5693,43.97003745,0.221322537,0.004205839
727,36047115800,10537.28759,29,109,82,,226.2786105,256.205611,29.9270005,260.7016493,325.7779279,65.0762786,47026.57909,47230,0.5214,50.08688097,0.154401154,0.013285458
728,36047116000,5367.222631,26,81,48,,249.2911344,289.1765625,39.8854281,306.5881947,358.2416134,51.6534187,34740.94604,28750,0.482,46.2116041,0.08127572,0
729,36047116200,5084.828112,35,63,44,,252.7176142,285.7493287,33.0317145,348.0619124,421.9972057,73.9352933,42050.65271,43359,0.4728,46.01208459,0.055813953,0
730,36047116400,6436.000713,76,251,135,,244.543735,272.7570351,28.2133001,284.8946595,331.4912842,46.5966247,42979.83581,50060,0.4814,42.37173717,0.11002994,0.003070624
731,36047116600,5650.027208,41,101,67,,239.3787252,261.2964139,21.9176887,620.3723687,740.6724798,120.3001111,48373.78451,39821,0.4775,42.84246575,0.11627907,0.002382573
